City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,sola,-13.8833,167.55,27.9,77,100,9.53,VU,1714998060
293,uyar,55.81,94.3153,9.47,58,100,4.54,RU,1714998060
294,amursk,50.2261,136.8994,7.77,57,11,4.89,RU,1714998060
295,altamira,-3.2033,-52.2064,26.05,94,75,3.6,BR,1714998028
296,luanda,-8.8368,13.2343,26.67,83,32,5.04,AO,1714998060
297,grahamstown,-33.3042,26.5328,22.2,16,0,6.83,ZA,1714998060
298,port alfred,-33.5906,26.891,25.66,63,1,0.89,ZA,1714998060
299,malpica,43.3228,-8.8105,16.85,63,33,3.69,ES,1714998060
300,sidi akkacha,36.4647,1.3026,26.16,36,100,3.59,DZ,1714998060
301,vilyuysk,63.7553,121.6247,2.78,85,100,4.47,RU,1714998060
302,zhanaozen,43.3,52.8,22.11,41,67,8.16,KZ,1714998060
303,itati,-27.2704,-58.2446,23.84,71,1,5.22,AR,1714998060
304,revda,56.801,59.9303,3.83,97,100,5.81,RU,1714998060
305,talnakh,69.4865,88.3972,-5.44,96,100,2.48,RU,1714998060
306,punta arenas,-53.15,-70.9167,1.06,93,75,2.57,CL,1714997776
307,kavaratti,10.5669,72.642,30.09,67,22,4.54,IN,1714998060
308,thompson,55.7435,-97.8558,2.09,87,75,2.06,CA,1714998060
309,zag,46.9441,99.165,18.26,15,6,5.42,MN,1714998060
310,inarajan village,13.2736,144.7484,28.08,87,87,4.42,GU,1714998060
311,crucecita,-28.95,-58.9833,24.69,72,100,5.12,AR,1714998060
312,laojunmiao,39.8333,97.7333,20.54,8,89,8.3,CN,1714998061
313,sirjan,29.452,55.6814,26.5,11,97,4.41,IR,1714998061
314,nacala,-14.5428,40.6728,31.62,62,40,5.66,MZ,1714998061
315,homer,59.6425,-151.5483,5.93,89,100,1.79,US,1714998061
316,mundri,-6.9558,111.71,25.8,79,20,1.39,ID,1714998061
317,flying fish cove,-10.4217,105.6791,26.82,89,75,4.63,CX,1714998061
318,mana,5.6592,-53.7767,27.15,85,95,5.33,GF,1714998061
319,sarmiento,-45.5882,-69.07,3.15,70,84,4.44,AR,1714998061
320,cassilandia,-19.1133,-51.7342,23.95,59,1,2.82,BR,1714998061
321,gadzhiyevo,69.2551,33.3362,-1.65,77,100,5.84,RU,1714998061
322,balaklava,44.5,33.6,15.37,41,0,3.41,UA,1714998061
323,kirensk,57.7853,108.1119,20.54,37,100,7.15,RU,1714998061
324,cidreira,-30.1811,-50.2056,23.35,79,26,2.64,BR,1714998061
325,dickinson,29.4608,-95.0513,24.53,94,75,3.09,US,1714998061
326,afaahiti,-17.75,-149.2833,24.93,84,28,10.65,PF,1714998061
327,arenapolis,-14.4503,-56.8461,25.07,59,17,2.5,BR,1714997931
328,manokwari,-0.8667,134.0833,26.13,91,100,6.18,ID,1714998061
329,colonia,50.9333,6.95,17.87,82,100,1.03,DE,1714998061
330,kununurra,-15.7667,128.7333,21.99,68,9,0.0,AU,1714998061
331,ploudalmezeau,48.5333,-4.65,14.04,76,75,6.17,FR,1714998062
332,mili,6.0815,171.735,28.11,84,100,9.94,MH,1714998062
333,kuala terengganu,5.3302,103.1408,30.97,79,20,2.06,MY,1714998062
334,quang ngai,15.1167,108.8,26.22,88,46,1.51,VN,1714998062
335,cambria,35.5641,-121.0808,6.1,96,7,0.89,US,1714998062
336,laguna,38.421,-121.4238,8.99,88,0,1.54,US,1714998062
337,basco,20.4487,121.9702,28.9,69,75,1.06,PH,1714998062
338,noumea,-22.2763,166.4572,18.99,70,26,3.14,NC,1714998062
339,trinidad,-14.8333,-64.9,25.99,94,26,1.54,BO,1714998046
340,shakawe,-18.3667,21.85,31.74,19,1,2.47,BW,1714998062
341,itamaraca,-7.7478,-34.8256,30.03,72,23,5.4,BR,1714998062
